seed,evaluation_batch,initial_theta,initial_theta_dot,actual_initial_theta,actual_initial_theta_dot,total_reward,minimum_abs_theta,upright_steps,stable_upright_steps,max_consecutive_stable_steps,success,theta_upright_threshold,theta_dot_stable_threshold,success_consecutive_stable_steps_threshold,final_theta_wrapped,final_theta_unwrapped,final_theta_dot
11,0,3.1415927410125732,0.0,3.1415927410125732,0.0,1970.265625,0.03711414337158203,204,199,199,1,0.35,0.5,30,-0.04720592498779297,6.2359795570373535,-0.09482496976852417
11,1,3.341592788696289,-2.0,3.341592788696289,-2.0,2127.998779296875,0.03224945068359375,217,212,212,1,0.35,0.5,30,-0.04140424728393555,6.241781234741211,0.02643292397260666
11,2,1.6699999570846558,2.0,1.6699999570846558,2.0,2309.668701171875,0.0012984275817871094,234,228,228,1,0.35,0.5,30,-0.04459381103515625,6.23859167098999,-0.03047223389148712
11,3,1.6699999570846558,-1.0,1.6699999570846558,-1.0,2273.5419921875,0.03934431076049805,230,224,224,1,0.35,0.5,30,-0.03909587860107422,6.244089603424072,0.08530589938163757
11,4,4.8115925788879395,0.0,4.8115925788879395,0.0,2244.22265625,0.0021102149039506912,228,219,219,1,0.35,0.5,30,-0.04907991737127304,-0.04907991737127304,0.17170792818069458
