seed,evaluation_batch,initial_theta,initial_theta_dot,actual_initial_theta,actual_initial_theta_dot,total_reward,minimum_abs_theta,upright_steps,stable_upright_steps,max_consecutive_stable_steps,success,theta_upright_threshold,theta_dot_stable_threshold,success_consecutive_stable_steps_threshold,final_theta_wrapped,final_theta_unwrapped,final_theta_dot
3,0,3.1415927410125732,0.0,3.1415927410125732,0.0,48.59937286376953,0.010315611958503723,37,3,3,0,0.35,0.5,30,-0.18718624114990234,-25.319929122924805,-2.3500919342041016
3,1,3.341592788696289,-2.0,3.341592788696289,-2.0,45.20249557495117,0.0026491954922676086,36,8,5,0,0.35,0.5,30,1.843642234802246,-23.289100646972656,-7.2350993156433105
3,2,1.6699999570846558,2.0,1.6699999570846558,2.0,121.98503875732422,0.0012340545654296875,39,3,3,0,0.35,0.5,30,2.1284608840942383,2.1284608840942383,-7.864273548126221
3,3,1.6699999570846558,-1.0,1.6699999570846558,-1.0,176.31826782226562,0.002879619598388672,48,5,5,0,0.35,0.5,30,-0.21687698364257812,-6.500062465667725,-2.327599287033081
3,4,4.8115925788879395,0.0,4.8115925788879395,0.0,136.66461181640625,0.008005619049072266,47,0,0,0,0.35,0.5,30,-0.006161689758300781,-43.988460540771484,-1.8151952028274536
