seed,episode,episode_length,total_reward,average_reward_per_step,average_absolute_td_error,epsilon,timesteps
3,1,250,-454.50518798828125,-1.8180207014083862,0.0,1.0,250
3,2,250,-496.1250915527344,-1.9845004081726074,0.0,0.9996041655540466,500
3,3,250,-483.9218444824219,-1.9356874227523804,0.0,0.9992083311080933,750
3,4,250,-472.3277893066406,-1.8893111944198608,0.0,0.9988124966621399,1000
3,5,250,-418.86944580078125,-1.6754777431488037,0.3788897693157196,0.9984166622161865,1250
3,6,250,-447.3545837402344,-1.789418339729309,0.09495088458061218,0.9980208277702332,1500
3,7,250,-486.2445068359375,-1.9449779987335205,0.08591572195291519,0.9976249933242798,1750
3,8,250,-490.9371643066406,-1.9637486934661865,0.03478223457932472,0.9972291588783264,2000
3,9,250,-479.75787353515625,-1.9190315008163452,0.07900498062372208,0.996833324432373,2250
3,10,250,-457.0749816894531,-1.828299880027771,0.026995841413736343,0.9964374899864197,2500
3,11,250,-474.7608947753906,-1.8990435600280762,0.02366570010781288,0.9960416555404663,2750
3,12,250,-477.9925537109375,-1.9119702577590942,0.020353183150291443,0.9956458210945129,3000
3,13,250,-477.1009521484375,-1.908403754234314,0.06451190263032913,0.9952499866485596,3250
3,14,250,-468.0518798828125,-1.872207522392273,0.028609326109290123,0.9948541522026062,3500
3,15,250,-457.8878173828125,-1.8315513134002686,0.024041976779699326,0.9944583177566528,3750
3,16,250,-462.9194641113281,-1.8516778945922852,0.0225011445581913,0.9940624833106995,4000
3,17,250,-482.9591369628906,-1.9318366050720215,0.06132164224982262,0.9936666488647461,4250
3,18,250,-439.4970703125,-1.7579883337020874,0.031245939433574677,0.9932708144187927,4500
3,19,250,-494.63531494140625,-1.9785412549972534,0.028262287378311157,0.9928749799728394,4750
3,20,250,-479.2478332519531,-1.9169913530349731,0.025021355599164963,0.992479145526886,5000
3,21,250,-444.0609436035156,-1.776243805885315,0.06464681029319763,0.9920833110809326,5250
