episode,episode_length,total_reward,average_reward_per_step,average_absolute_td_error,epsilon,timesteps
82,200,-378.570838,-1.89285419,0.2634936684370041,0.9350872916666666,16400
83,200,-349.635482,-1.74817741,0.22333069384098053,0.9342956250000001,16600
84,200,-373.694034,-1.86847017,0.17978527933359145,0.9335039583333334,16800
85,200,-392.433717,-1.962168585,0.17156316965818405,0.9327122916666666,17000
86,200,-344.034571,-1.7201728550000002,0.5852151256799698,0.931920625,17200
87,200,-384.945525,-1.9247276249999998,0.2825338378548622,0.9311289583333334,17400
88,200,-364.089465,-1.8204473250000002,0.23172328650951385,0.9303372916666668,17600
89,200,-389.305958,-1.9465297899999998,0.20856908410787584,0.9295456249999998,17800
90,200,-383.154567,-1.9157728349999998,0.2006412348151207,0.9287539583333333,18000
91,200,-378.737014,-1.8936850699999999,0.6039602905511856,0.9279622916666668,18200
92,200,-387.474321,-1.9373716049999998,0.31287791013717653,0.9271706250000001,18400
93,200,-389.473434,-1.94736717,0.24819228678941727,0.9263789583333332,18600
94,200,-304.488022,-1.52244011,0.22188589125871658,0.9255872916666666,18800
95,200,-255.64456,-1.2782228,0.22658006668090822,0.924795625,19000
96,200,-368.875464,-1.8443773200000002,0.6299927151203155,0.9240039583333335,19200
97,200,-372.646094,-1.86323047,0.3692966982722282,0.9232122916666665,19400
98,200,-350.105021,-1.7505251050000001,0.31256592363119123,0.922420625,19600
99,200,-368.806917,-1.844034585,0.293143889605999,0.9216289583333334,19800
100,200,-310.830484,-1.55415242,0.27827621787786483,0.9208372916666668,20000
101,200,-328.346864,-1.6417343199999999,0.6694218301773072,0.9200456249999999,20200
102,200,-354.609503,-1.773047515,0.45424905359745027,0.9192539583333332,20400
103,200,-388.258362,-1.9412918099999998,0.37044244825839995,0.9184622916666667,20600
104,200,-316.288382,-1.5814419100000001,0.32767619997262953,0.9176706250000002,20800
105,200,-197.551386,-0.9877569300000001,0.3374706044793129,0.9168789583333332,21000
106,200,-388.985974,-1.94492987,0.6813999062776566,0.9160872916666666,21200
107,200,-318.400726,-1.59200363,0.499860582947731,0.9152956250000001,21400
108,200,-369.408148,-1.84704074,0.43868577003479003,0.9145039583333334,21600
109,200,-373.769528,-1.8688476399999998,0.3913398224115372,0.9137122916666666,21800
110,200,-373.347779,-1.8667388950000001,0.3858010292053223,0.9129206249999999,22000
111,200,-386.950722,-1.93475361,0.7346620905399323,0.9121289583333334,22200
112,200,-346.157895,-1.730789475,0.5355510085821151,0.9113372916666668,22400
113,200,-344.647568,-1.72323784,0.5035239940881729,0.9105456249999999,22600
114,200,-325.000531,-1.625002655,0.4629609441757202,0.9097539583333333,22800
115,200,-240.560116,-1.20280058,0.4359982770681381,0.9089622916666666,23000
116,200,-338.428249,-1.692141245,0.8269109082221985,0.9081706250000001,23200
117,200,-248.1914,-1.2409569999999999,0.6447411000728607,0.9073789583333332,23400
118,200,-373.550613,-1.867753065,0.5628380936384201,0.9065872916666666,23600
119,200,-381.278054,-1.90639027,0.5566879385709762,0.905795625,23800
120,200,-374.132945,-1.8706647250000001,0.5164023631811142,0.9050039583333335,24000
121,200,-213.608619,-1.068043095,0.9083334088325501,0.9042122916666665,24200
122,200,-292.388133,-1.461940665,0.7362783932685852,0.903420625,24400
123,200,-287.232196,-1.43616098,0.6818770456314087,0.9026289583333333,24600
124,200,-186.805444,-0.9340272199999999,0.6518021899461747,0.9018372916666668,24800
125,200,-384.01677,-1.9200838500000001,0.6406504106521607,0.9010456249999999,25000
126,200,-354.687846,-1.77343923,0.9907367420196533,0.9002539583333333,25200
127,200,-350.814324,-1.75407162,0.8180075120925904,0.8994622916666667,25400
128,200,-281.903464,-1.40951732,0.7242657685279846,0.8986706250000001,25600
129,200,-297.818611,-1.4890930549999999,0.717716965675354,0.8978789583333332,25800
130,200,-315.079302,-1.57539651,0.7057944631576538,0.8970872916666666,26000
131,200,-338.920375,-1.6946018749999998,1.0405273818969727,0.896295625,26200
132,200,-373.383234,-1.86691617,0.9049144637584686,0.8955039583333334,26400
133,200,-361.052207,-1.805261035,0.858312246799469,0.8947122916666665,26600
134,200,-333.642663,-1.668213315,0.813904082775116,0.8939206249999999,26800
135,200,-280.054074,-1.40027037,0.7739086544513702,0.8931289583333334,27000
136,200,-336.806943,-1.684034715,1.1270652151107787,0.8923372916666668,27200
137,200,-370.132043,-1.850660215,1.0132913601398468,0.8915456249999998,27400
138,200,-323.331446,-1.6166572300000002,0.9412797570228577,0.8907539583333333,27600
139,200,-308.806342,-1.5440317099999998,0.8820819294452668,0.8899622916666667,27800
140,200,-373.50738,-1.8675369000000002,0.8540335178375245,0.8891706250000001,28000
141,200,-358.84451,-1.79422255,1.2002298271656036,0.8883789583333331,28200
142,200,-347.899868,-1.73949934,1.0614272820949555,0.8875872916666666,28400
143,200,-360.171058,-1.80085529,1.0602054154872895,0.886795625,28600
144,200,-379.928956,-1.89964478,0.990218517780304,0.8860039583333335,28800
145,200,-355.851804,-1.77925902,0.9170964884757996,0.8852122916666665,29000
146,200,-380.076457,-1.900382285,1.1967798829078675,0.884420625,29200
147,200,-358.862527,-1.794312635,1.1224066817760467,0.8836289583333333,29400
148,200,-321.876501,-1.6093825050000001,1.0909254896640777,0.8828372916666668,29600
149,200,-247.722764,-1.23861382,1.0107026255130769,0.8820456249999998,29800
150,200,-296.042515,-1.480212575,0.9915835344791413,0.8812539583333332,30000
151,200,-330.323583,-1.6516179149999999,1.2274642395973205,0.8804622916666667,30200
152,200,-210.456388,-1.05228194,1.1891525709629058,0.879670625,30400
153,200,-331.12352,-1.6556176,1.1400027120113372,0.8788789583333335,30600
154,200,-354.045006,-1.77022503,1.0710044038295745,0.8780872916666665,30800
155,200,-300.846775,-1.504233875,1.0597863793373108,0.877295625,31000
156,200,-347.827171,-1.739135855,1.2459740805625916,0.8765039583333334,31200
157,200,-319.517604,-1.59758802,1.1969572377204896,0.8757122916666665,31400
158,200,-370.382106,-1.85191053,1.1149765384197234,0.8749206249999999,31600
159,200,-373.355794,-1.86677897,1.0852383553981781,0.8741289583333334,31800
160,200,-343.392404,-1.71696202,1.0965235662460326,0.8733372916666667,32000
161,200,-283.806783,-1.419033915,1.223351366519928,0.8725456250000002,32200
162,200,-282.777694,-1.41388847,1.2238105893135072,0.8717539583333332,32400
163,200,-365.261644,-1.82630822,1.1399311864376067,0.8709622916666666,32600
164,200,-318.57715,-1.59288575,1.1162219488620757,0.8701706250000001,32800
165,200,-325.35479,-1.6267739499999998,1.055936006307602,0.8693789583333331,33000
166,200,-99.578074,-0.49789037,1.214019500017166,0.8685872916666666,33200
167,200,-322.87848,-1.6143924,1.1763654780387878,0.8677956250000001,33400
