evaluation_batch,initial_theta,initial_theta_dot,actual_initial_theta,actual_initial_theta_dot,total_reward,minimum_abs_theta,upright_steps,stable_upright_steps,final_theta_wrapped,final_theta_unwrapped,final_theta_dot
0,3.141592653589793,0.0,3.141592653589793,0.0,1281.2113398864153,0.0596389358012277,142,141,0.0681942183456794,0.06819421834567944,0.02851020984709854
1,3.3415926535897933,-2.0,3.3415926535897933,-2.0,1308.9601781873469,0.06166448905540145,140,139,0.07603788972323322,0.07603788972323341,0.10625068958884859
2,1.67,2.0,1.67,2.0,1408.1792059963436,0.059892057198339455,157,152,0.06554789434888608,0.06554789434888617,-0.06037843757439967
3,1.67,-1.0,1.67,-1.0,1361.6623302680473,0.06218574708996183,149,147,0.07985129085068188,0.07985129085068186,-0.10254923409180497
4,4.811592653589793,0.0,4.811592653589793,0.0,1662.3965364476353,0.06045675345776225,178,176,0.06491070337019522,0.06491070337019504,0.022551886057419472
