seed,episode,episode_length,total_reward,average_reward_per_step,average_absolute_td_error,epsilon,timesteps
8,1,250,-470.90106201171875,-1.8836042881011963,0.0,1.0,250
8,2,250,-463.51806640625,-1.8540722131729126,0.0,0.9996041655540466,500
8,3,250,-429.5066833496094,-1.7180267572402954,0.0,0.9992083311080933,750
8,4,250,-450.51727294921875,-1.802069067955017,0.0,0.9988124966621399,1000
8,5,250,-469.85528564453125,-1.8794211149215698,0.37970808148384094,0.9984166622161865,1250
8,6,250,-486.21002197265625,-1.9448400735855103,0.10173003375530243,0.9980208277702332,1500
8,7,250,-444.5665283203125,-1.7782660722732544,0.0876598134636879,0.9976249933242798,1750
8,8,250,-475.01605224609375,-1.90006422996521,0.04296215996146202,0.9972291588783264,2000
8,9,250,-478.5220031738281,-1.9140880107879639,0.08092150837182999,0.996833324432373,2250
8,10,250,-482.2372131347656,-1.9289488792419434,0.030058184638619423,0.9964374899864197,2500
8,11,250,-483.9286804199219,-1.9357147216796875,0.02362597920000553,0.9960416555404663,2750
8,12,250,-468.1106872558594,-1.8724427223205566,0.02063879184424877,0.9956458210945129,3000
8,13,250,-473.96881103515625,-1.8958752155303955,0.06104894354939461,0.9952499866485596,3250
8,14,250,-489.0311584472656,-1.9561246633529663,0.02765122428536415,0.9948541522026062,3500
8,15,250,-495.8439636230469,-1.983375906944275,0.023041697219014168,0.9944583177566528,3750
8,16,250,-458.48651123046875,-1.8339459896087646,0.021001270040869713,0.9940624833106995,4000
8,17,250,-460.4447937011719,-1.8417792320251465,0.06191059201955795,0.9936666488647461,4250
8,18,250,-420.974609375,-1.6838984489440918,0.034662991762161255,0.9932708144187927,4500
8,19,250,-472.7127685546875,-1.8908510208129883,0.031798820942640305,0.9928749799728394,4750
8,20,250,-451.8042297363281,-1.8072168827056885,0.02753519080579281,0.992479145526886,5000
8,21,250,-484.9817810058594,-1.939927101135254,0.07150093466043472,0.9920833110809326,5250
8,22,250,-487.5434875488281,-1.9501739740371704,0.039693865925073624,0.9916874766349792,5500
8,23,250,-474.9361877441406,-1.8997447490692139,0.03265303745865822,0.9912916421890259,5750
8,24,250,-424.4591979980469,-1.6978367567062378,0.03290518745779991,0.9908958077430725,6000
8,25,250,-463.86358642578125,-1.8554543256759644,0.07526939362287521,0.9904999732971191,6250
8,26,250,-490.6766662597656,-1.9627066850662231,0.04325331747531891,0.9901041388511658,6500
8,27,250,-474.5028381347656,-1.898011326789856,0.04022024944424629,0.9897083044052124,6750
8,28,250,-450.7548828125,-1.8030195236206055,0.037483468651771545,0.9893125295639038,7000
8,29,250,-483.39013671875,-1.9335604906082153,0.08413469046354294,0.9889166951179504,7250
8,30,250,-463.3446044921875,-1.853378415107727,0.04737742245197296,0.9885208606719971,7500
8,31,250,-394.0876770019531,-1.5763506889343262,0.044979359954595566,0.9881250262260437,7750
8,32,250,-433.296630859375,-1.7331864833831787,0.04210689291357994,0.9877291917800903,8000
8,33,250,-474.1322326660156,-1.896528959274292,0.09393058717250824,0.987333357334137,8250
8,34,250,-476.0414733886719,-1.9041658639907837,0.05889352783560753,0.9869375228881836,8500
8,35,250,-485.3225402832031,-1.9412901401519775,0.05117250978946686,0.9865416884422302,8750
8,36,250,-473.4395446777344,-1.8937581777572632,0.04917852580547333,0.9861458539962769,9000
8,37,250,-486.8442687988281,-1.94737708568573,0.10486774891614914,0.9857500195503235,9250
8,38,250,-366.9485168457031,-1.4677940607070923,0.06504950672388077,0.9853541851043701,9500
8,39,250,-467.3872375488281,-1.8695489168167114,0.06631526350975037,0.9849583506584167,9750
8,40,250,-463.8998107910156,-1.855599284172058,0.06413480639457703,0.9845625162124634,10000
8,41,250,-440.5809326171875,-1.7623237371444702,0.13388489186763763,0.98416668176651,10250
8,42,250,-468.54937744140625,-1.8741974830627441,0.08878318220376968,0.9837708473205566,10500
8,43,250,-481.2167053222656,-1.924866795539856,0.08115404844284058,0.9833750128746033,10750
8,44,250,-444.9203796386719,-1.7796815633773804,0.07910912483930588,0.9829791784286499,11000
8,45,250,-487.7441711425781,-1.9509767293930054,0.14742670953273773,0.9825833439826965,11250
8,46,250,-349.21112060546875,-1.396844506263733,0.09945359081029892,0.9821875095367432,11500
8,47,250,-489.2657470703125,-1.9570629596710205,0.09978263080120087,0.9817916750907898,11750
8,48,250,-479.4364318847656,-1.9177457094192505,0.09516192227602005,0.9813958406448364,12000
8,49,250,-480.00628662109375,-1.920025110244751,0.18018290400505066,0.9810000061988831,12250
8,50,250,-455.4309997558594,-1.8217240571975708,0.12320656329393387,0.9806041717529297,12500
8,51,250,-469.65472412109375,-1.8786189556121826,0.11044459789991379,0.9802083373069763,12750
8,52,250,-431.8762512207031,-1.7275049686431885,0.11025148630142212,0.979812502861023,13000
8,53,250,-452.8203125,-1.8112812042236328,0.21693308651447296,0.9794166684150696,13250
8,54,250,-479.8525390625,-1.9194101095199585,0.15061801671981812,0.9790208339691162,13500
8,55,250,-484.9947509765625,-1.9399789571762085,0.12930890917778015,0.9786249995231628,13750
8,56,250,-457.34710693359375,-1.8293883800506592,0.12044251710176468,0.9782291650772095,14000
8,57,250,-431.88446044921875,-1.7275378704071045,0.23320205509662628,0.9778333306312561,14250
8,58,250,-483.0212707519531,-1.9320850372314453,0.16757725179195404,0.9774374961853027,14500
8,59,250,-391.1336364746094,-1.5645345449447632,0.1359531283378601,0.9770416617393494,14750
8,60,250,-376.7359924316406,-1.506943941116333,0.13715586066246033,0.976645827293396,15000
8,61,250,-403.0847473144531,-1.6123390197753906,0.2510790526866913,0.9762499928474426,15250
8,62,250,-427.4752197265625,-1.7099008560180664,0.17854656279087067,0.9758541584014893,15500
8,63,250,-475.8026428222656,-1.9032105207443237,0.15720801055431366,0.9754583239555359,15750
8,64,250,-442.99725341796875,-1.7719889879226685,0.1510520875453949,0.9750624895095825,16000
8,65,250,-492.98828125,-1.9719531536102295,0.2505388855934143,0.9746666550636292,16250
8,66,250,-430.306396484375,-1.721225619316101,0.1765868365764618,0.9742708206176758,16500
8,67,250,-424.0823974609375,-1.6963295936584473,0.16980105638504028,0.9738749861717224,16750
8,68,250,-487.61865234375,-1.9504746198654175,0.15815556049346924,0.973479151725769,17000
8,69,250,-492.0585021972656,-1.9682340621948242,0.2506423592567444,0.9730833172798157,17250
8,70,250,-475.2346496582031,-1.900938630104065,0.1876400113105774,0.9726874828338623,17500
8,71,250,-476.5135192871094,-1.9060540199279785,0.16992570459842682,0.9722916483879089,17750
8,72,250,-432.69207763671875,-1.7307683229446411,0.16277089715003967,0.9718958139419556,18000
8,73,250,-456.6958312988281,-1.826783299446106,0.25671833753585815,0.9714999794960022,18250
8,74,250,-472.259033203125,-1.8890361785888672,0.20610947906970978,0.9711041450500488,18500
8,75,250,-472.16876220703125,-1.8886750936508179,0.19529426097869873,0.9707083106040955,18750
8,76,250,-490.49053955078125,-1.961962103843689,0.18599751591682434,0.9703124761581421,19000
8,77,250,-490.11981201171875,-1.9604792594909668,0.2700875401496887,0.9699166417121887,19250
8,78,250,-460.3192443847656,-1.841277003288269,0.20885829627513885,0.9695208072662354,19500
8,79,250,-465.664306640625,-1.8626571893692017,0.1953469067811966,0.969124972820282,19750
8,80,250,-492.1499328613281,-1.9685996770858765,0.18726225197315216,0.9687291383743286,20000
8,81,250,-449.9732971191406,-1.7998931407928467,0.2838723361492157,0.96833336353302,20250
8,82,250,-444.7461242675781,-1.778984546661377,0.20920753479003906,0.9679374694824219,20500
8,83,250,-475.6496887207031,-1.9025987386703491,0.19427737593650818,0.9675416946411133,20750
8,84,250,-483.7767333984375,-1.9351069927215576,0.18219435214996338,0.9671458601951599,21000
8,85,250,-462.9925842285156,-1.8519703149795532,0.2600559592247009,0.9667500257492065,21250
8,86,250,-455.9130554199219,-1.8236522674560547,0.1974351704120636,0.9663541913032532,21500
8,87,250,-479.8943176269531,-1.9195772409439087,0.18127129971981049,0.9659583568572998,21750
8,88,250,-456.3669128417969,-1.8254677057266235,0.1719399392604828,0.9655625224113464,22000
8,89,250,-449.2309265136719,-1.7969237565994263,0.26053017377853394,0.9651666879653931,22250
8,90,250,-488.733642578125,-1.9549345970153809,0.19107046723365784,0.9647708535194397,22500
8,91,250,-459.1226806640625,-1.8364907503128052,0.18166230618953705,0.9643750190734863,22750
8,92,250,-488.5441589355469,-1.954176664352417,0.1808825582265854,0.963979184627533,23000
8,93,250,-485.57061767578125,-1.9422824382781982,0.26286208629608154,0.9635833501815796,23250
8,94,250,-282.0835266113281,-1.1283341646194458,0.20093406736850739,0.9631875157356262,23500
8,95,250,-472.43182373046875,-1.8897273540496826,0.2025596648454666,0.9627916812896729,23750
8,96,250,-466.0732727050781,-1.864293098449707,0.19113413989543915,0.9623958468437195,24000
8,97,250,-466.63299560546875,-1.8665319681167603,0.31479376554489136,0.9620000123977661,24250
8,98,250,-409.4832458496094,-1.6379330158233643,0.22958829998970032,0.9616041779518127,24500
8,99,250,-398.98040771484375,-1.5959216356277466,0.21601423621177673,0.9612083435058594,24750
8,100,250,-468.1433410644531,-1.8725733757019043,0.1959696114063263,0.960812509059906,25000
8,101,250,-371.4346923828125,-1.485738754272461,0.3358103036880493,0.9604166746139526,25250
8,102,250,-476.8929748535156,-1.9075719118118286,0.23476549983024597,0.9600208401679993,25500
8,103,250,-464.98443603515625,-1.8599377870559692,0.22001823782920837,0.9596250057220459,25750
8,104,250,-364.6476745605469,-1.4585907459259033,0.20211848616600037,0.9592291712760925,26000
8,105,250,-474.134765625,-1.8965390920639038,0.3688249886035919,0.9588333368301392,26250
8,106,250,-489.153564453125,-1.9566142559051514,0.26249223947525024,0.9584375023841858,26500
8,107,250,-377.3995361328125,-1.5095981359481812,0.2300838679075241,0.9580416679382324,26750
8,108,250,-459.3550720214844,-1.8374203443527222,0.2158508598804474,0.957645833492279,27000
8,109,250,-428.7829895019531,-1.7151319980621338,0.3881985545158386,0.9572499990463257,27250
8,110,250,-485.0745849609375,-1.940298318862915,0.298503041267395,0.9568541646003723,27500
8,111,250,-482.5541076660156,-1.9302164316177368,0.27169838547706604,0.956458330154419,27750
8,112,250,-492.3033142089844,-1.9692132472991943,0.2567547857761383,0.9560624957084656,28000
8,113,250,-473.4458923339844,-1.8937835693359375,0.4251714050769806,0.9556666612625122,28250
8,114,250,-467.262451171875,-1.8690497875213623,0.3348240256309509,0.9552708268165588,28500
8,115,250,-393.91387939453125,-1.575655460357666,0.3012761175632477,0.9548749923706055,28750
