seed,episode,episode_length,total_reward,average_reward_per_step,average_absolute_td_error,epsilon,timesteps
5,1,250,-480.34173583984375,-1.9213669300079346,0.0,1.0,250
5,2,250,-483.6865539550781,-1.934746265411377,0.0,0.9996041655540466,500
5,3,250,-473.55828857421875,-1.8942331075668335,0.0,0.9992083311080933,750
5,4,250,-495.86053466796875,-1.9834421873092651,0.0,0.9988124966621399,1000
5,5,250,-489.2787170410156,-1.957114815711975,0.320144921541214,0.9984166622161865,1250
5,6,250,-403.7364501953125,-1.6149457693099976,0.05587106570601463,0.9980208277702332,1500
5,7,250,-481.2485656738281,-1.9249942302703857,0.07094041258096695,0.9976249933242798,1750
5,8,250,-495.63848876953125,-1.9825539588928223,0.04079163819551468,0.9972291588783264,2000
5,9,250,-464.8580017089844,-1.8594319820404053,0.08380447328090668,0.996833324432373,2250
5,10,250,-466.67620849609375,-1.8667048215866089,0.03547836095094681,0.9964374899864197,2500
5,11,250,-489.927001953125,-1.9597079753875732,0.023717457428574562,0.9960416555404663,2750
5,12,250,-474.38043212890625,-1.897521734237671,0.01932619698345661,0.9956458210945129,3000
5,13,250,-474.0538330078125,-1.8962153196334839,0.06685159355401993,0.9952499866485596,3250
5,14,250,-495.5995178222656,-1.9823980331420898,0.03187710419297218,0.9948541522026062,3500
5,15,250,-483.9820861816406,-1.9359283447265625,0.026332620531320572,0.9944583177566528,3750
5,16,250,-449.1413269042969,-1.796565294265747,0.021737156435847282,0.9940624833106995,4000
5,17,250,-483.4331970214844,-1.9337327480316162,0.06378327310085297,0.9936666488647461,4250
5,18,250,-483.9276428222656,-1.9357105493545532,0.032606955617666245,0.9932708144187927,4500
5,19,250,-373.443603515625,-1.4937744140625,0.033005885779857635,0.9928749799728394,4750
5,20,250,-444.74761962890625,-1.7789905071258545,0.031250763684511185,0.992479145526886,5000
5,21,250,-487.632080078125,-1.9505282640457153,0.08287583291530609,0.9920833110809326,5250
5,22,250,-494.3396301269531,-1.9773585796356201,0.04168520122766495,0.9916874766349792,5500
5,23,250,-487.75201416015625,-1.9510080814361572,0.038524873554706573,0.9912916421890259,5750
5,24,250,-473.8568115234375,-1.8954272270202637,0.033642660826444626,0.9908958077430725,6000
5,25,250,-466.5267639160156,-1.8661071062088013,0.07589076459407806,0.9904999732971191,6250
5,26,250,-441.02545166015625,-1.7641018629074097,0.04698031768202782,0.9901041388511658,6500
5,27,250,-486.56658935546875,-1.9462664127349854,0.0419507659971714,0.9897083044052124,6750
5,28,250,-490.36029052734375,-1.961441159248352,0.04105536267161369,0.9893125295639038,7000
5,29,250,-466.3419494628906,-1.8653677701950073,0.08534702658653259,0.9889166951179504,7250
5,30,250,-456.673828125,-1.8266953229904175,0.05069147050380707,0.9885208606719971,7500
5,31,250,-496.99066162109375,-1.9879626035690308,0.047624293714761734,0.9881250262260437,7750
5,32,250,-472.20880126953125,-1.8888351917266846,0.04915110766887665,0.9877291917800903,8000
5,33,250,-475.9977111816406,-1.9039908647537231,0.09844257682561874,0.987333357334137,8250
5,34,250,-474.5819091796875,-1.8983275890350342,0.06100238114595413,0.9869375228881836,8500
5,35,250,-477.8858337402344,-1.911543369293213,0.05655502900481224,0.9865416884422302,8750
5,36,250,-473.67791748046875,-1.8947116136550903,0.05755529925227165,0.9861458539962769,9000
5,37,250,-478.5657653808594,-1.9142630100250244,0.11270266771316528,0.9857500195503235,9250
5,38,250,-475.8147888183594,-1.9032591581344604,0.06895192712545395,0.9853541851043701,9500
5,39,250,-448.7938537597656,-1.7951754331588745,0.0674772560596466,0.9849583506584167,9750
5,40,250,-482.9016418457031,-1.9316065311431885,0.06490033864974976,0.9845625162124634,10000
5,41,250,-489.9397888183594,-1.9597591161727905,0.13397878408432007,0.98416668176651,10250
5,42,250,-396.658935546875,-1.586635708808899,0.08400484919548035,0.9837708473205566,10500
5,43,250,-474.3157043457031,-1.8972628116607666,0.08594664931297302,0.9833750128746033,10750
5,44,250,-460.3323059082031,-1.8413292169570923,0.0846351906657219,0.9829791784286499,11000
5,45,250,-372.8582458496094,-1.491433024406433,0.1612319052219391,0.9825833439826965,11250
5,46,250,-487.53973388671875,-1.950158953666687,0.11378266662359238,0.9821875095367432,11500
5,47,250,-473.7055358886719,-1.894822120666504,0.10302776843309402,0.9817916750907898,11750
5,48,250,-471.2432861328125,-1.884973168373108,0.09442786127328873,0.9813958406448364,12000
5,49,250,-404.8542785644531,-1.6194170713424683,0.18659882247447968,0.9810000061988831,12250
5,50,250,-428.7672119140625,-1.7150688171386719,0.1339975744485855,0.9806041717529297,12500
5,51,250,-477.7014465332031,-1.9108058214187622,0.1222543865442276,0.9802083373069763,12750
5,52,250,-452.9471435546875,-1.811788558959961,0.11275815963745117,0.979812502861023,13000
5,53,250,-439.3567810058594,-1.7574270963668823,0.25010305643081665,0.9794166684150696,13250
5,54,250,-486.3445739746094,-1.945378303527832,0.1716049611568451,0.9790208339691162,13500
5,55,250,-362.76837158203125,-1.4510735273361206,0.1446257084608078,0.9786249995231628,13750
5,56,250,-483.77783203125,-1.9351112842559814,0.1405545324087143,0.9782291650772095,14000
5,57,250,-481.5431213378906,-1.9261724948883057,0.275452196598053,0.9778333306312561,14250
5,58,250,-435.28253173828125,-1.7411301136016846,0.1907014548778534,0.9774374961853027,14500
5,59,250,-397.5233154296875,-1.5900932550430298,0.16602154076099396,0.9770416617393494,14750
5,60,250,-469.2679443359375,-1.877071738243103,0.14848245680332184,0.976645827293396,15000
5,61,250,-469.4910888671875,-1.8779643774032593,0.26767638325691223,0.9762499928474426,15250
5,62,250,-412.8110656738281,-1.6512442827224731,0.19123893976211548,0.9758541584014893,15500
5,63,250,-461.13580322265625,-1.844543218612671,0.16574209928512573,0.9754583239555359,15750
5,64,250,-434.04705810546875,-1.7361881732940674,0.15447001159191132,0.9750624895095825,16000
5,65,250,-489.94451904296875,-1.959778070449829,0.2971026599407196,0.9746666550636292,16250
5,66,250,-480.5011291503906,-1.9220044612884521,0.20225778222084045,0.9742708206176758,16500
5,67,250,-442.0628356933594,-1.7682512998580933,0.1745469868183136,0.9738749861717224,16750
5,68,250,-391.88238525390625,-1.567529559135437,0.1644940972328186,0.973479151725769,17000
5,69,250,-473.2242736816406,-1.892897129058838,0.3049638867378235,0.9730833172798157,17250
5,70,250,-445.3752136230469,-1.7815008163452148,0.20047904551029205,0.9726874828338623,17500
5,71,250,-478.08270263671875,-1.9123308658599854,0.18372051417827606,0.9722916483879089,17750
5,72,250,-483.4351501464844,-1.9337406158447266,0.17164719104766846,0.9718958139419556,18000
5,73,250,-483.79925537109375,-1.9351969957351685,0.28381097316741943,0.9714999794960022,18250
5,74,250,-481.8890380859375,-1.9275561571121216,0.20991003513336182,0.9711041450500488,18500
5,75,250,-484.9487609863281,-1.9397950172424316,0.1894017606973648,0.9707083106040955,18750
5,76,250,-481.4386901855469,-1.9257547855377197,0.17855596542358398,0.9703124761581421,19000
5,77,250,-396.6537170410156,-1.5866148471832275,0.2824459671974182,0.9699166417121887,19250
5,78,250,-418.9167785644531,-1.6756671667099,0.22238820791244507,0.9695208072662354,19500
5,79,250,-453.7869873046875,-1.8151479959487915,0.20832005143165588,0.969124972820282,19750
5,80,250,-292.0583190917969,-1.1682332754135132,0.21081683039665222,0.9687291383743286,20000
5,81,250,-478.8360595703125,-1.91534423828125,0.3304266035556793,0.96833336353302,20250
5,82,250,-453.9015197753906,-1.8156061172485352,0.2528500556945801,0.9679374694824219,20500
5,83,250,-439.6819763183594,-1.7587279081344604,0.24596048891544342,0.9675416946411133,20750
5,84,250,-479.7474670410156,-1.918989896774292,0.2372850626707077,0.9671458601951599,21000
5,85,250,-491.88262939453125,-1.9675304889678955,0.32726749777793884,0.9667500257492065,21250
5,86,250,-467.5276794433594,-1.8701107501983643,0.239502415060997,0.9663541913032532,21500
