seed,episode,episode_length,total_reward,average_reward_per_step,average_absolute_td_error,epsilon,timesteps
9,1,250,-478.6458740234375,-1.914583444595337,0.0,1.0,250
9,2,250,-485.4588317871094,-1.9418352842330933,0.0,0.9996041655540466,500
9,3,250,-450.64984130859375,-1.802599310874939,0.0,0.9992083311080933,750
9,4,250,-478.87646484375,-1.9155058860778809,0.0,0.9988124966621399,1000
9,5,250,-489.9184265136719,-1.9596737623214722,0.3731679320335388,0.9984166622161865,1250
9,6,250,-489.1462707519531,-1.9565850496292114,0.06647734344005585,0.9980208277702332,1500
9,7,250,-494.26080322265625,-1.9770432710647583,0.05783354490995407,0.9976249933242798,1750
9,8,250,-470.8163146972656,-1.8832652568817139,0.05016466975212097,0.9972291588783264,2000
9,9,250,-467.3572082519531,-1.8694288730621338,0.08209781348705292,0.996833324432373,2250
9,10,250,-474.3063659667969,-1.8972254991531372,0.029679663479328156,0.9964374899864197,2500
9,11,250,-487.1920166015625,-1.9487680196762085,0.02078266255557537,0.9960416555404663,2750
9,12,250,-483.07598876953125,-1.9323039054870605,0.018642377108335495,0.9956458210945129,3000
9,13,250,-458.49383544921875,-1.8339753150939941,0.0610380657017231,0.9952499866485596,3250
9,14,250,-489.3701477050781,-1.957480549812317,0.024905111640691757,0.9948541522026062,3500
9,15,250,-481.7791748046875,-1.9271167516708374,0.021149221807718277,0.9944583177566528,3750
9,16,250,-434.2273864746094,-1.7369095087051392,0.02037137933075428,0.9940624833106995,4000
9,17,250,-492.8482666015625,-1.97139310836792,0.061494890600442886,0.9936666488647461,4250
9,18,250,-478.017822265625,-1.9120713472366333,0.02980867773294449,0.9932708144187927,4500
9,19,250,-489.93487548828125,-1.9597394466400146,0.02515467442572117,0.9928749799728394,4750
9,20,250,-486.0379333496094,-1.944151759147644,0.024889564141631126,0.992479145526886,5000
9,21,250,-479.35394287109375,-1.917415738105774,0.05941399559378624,0.9920833110809326,5250
9,22,250,-480.6562194824219,-1.9226248264312744,0.03368120640516281,0.9916874766349792,5500
9,23,250,-460.1914367675781,-1.8407657146453857,0.028769399970769882,0.9912916421890259,5750
9,24,250,-325.02410888671875,-1.3000963926315308,0.03219730779528618,0.9908958077430725,6000
9,25,250,-471.6575622558594,-1.8866302967071533,0.08483104407787323,0.9904999732971191,6250
9,26,250,-435.8020935058594,-1.743208408355713,0.04783361032605171,0.9901041388511658,6500
9,27,250,-444.5364685058594,-1.7781459093093872,0.044754739850759506,0.9897083044052124,6750
9,28,250,-479.6711120605469,-1.918684482574463,0.03968071565032005,0.9893125295639038,7000
9,29,250,-467.93731689453125,-1.8717492818832397,0.08714871108531952,0.9889166951179504,7250
9,30,250,-477.1383972167969,-1.9085536003112793,0.05432356894016266,0.9885208606719971,7500
9,31,250,-416.4026184082031,-1.665610432624817,0.04912315309047699,0.9881250262260437,7750
9,32,250,-492.3949890136719,-1.9695799350738525,0.044924598187208176,0.9877291917800903,8000
9,33,250,-475.0596008300781,-1.9002383947372437,0.10078343003988266,0.987333357334137,8250
9,34,250,-466.8636169433594,-1.8674544095993042,0.06119505316019058,0.9869375228881836,8500
9,35,250,-491.89715576171875,-1.9675886631011963,0.05723264068365097,0.9865416884422302,8750
9,36,250,-449.40692138671875,-1.7976276874542236,0.05176795646548271,0.9861458539962769,9000
9,37,250,-447.2436828613281,-1.7889747619628906,0.1102537214756012,0.9857500195503235,9250
9,38,250,-476.94720458984375,-1.907788872718811,0.07261296361684799,0.9853541851043701,9500
9,39,250,-455.7291564941406,-1.8229166269302368,0.06841651350259781,0.9849583506584167,9750
9,40,250,-436.3204345703125,-1.74528169631958,0.061096787452697754,0.9845625162124634,10000
9,41,250,-465.4201354980469,-1.861680507659912,0.11912043392658234,0.98416668176651,10250
9,42,250,-417.41357421875,-1.6696542501449585,0.08544404804706573,0.9837708473205566,10500
9,43,250,-468.713623046875,-1.8748544454574585,0.08278470486402512,0.9833750128746033,10750
9,44,250,-472.26275634765625,-1.889051079750061,0.08095230162143707,0.9829791784286499,11000
9,45,250,-492.0995178222656,-1.968398094177246,0.14723527431488037,0.9825833439826965,11250
9,46,250,-441.72528076171875,-1.7669011354446411,0.09910868853330612,0.9821875095367432,11500
9,47,250,-485.92425537109375,-1.9436969757080078,0.09429536759853363,0.9817916750907898,11750
9,48,250,-449.9298400878906,-1.7997193336486816,0.09100013971328735,0.9813958406448364,12000
9,49,250,-466.0466613769531,-1.8641866445541382,0.18140488862991333,0.9810000061988831,12250
9,50,250,-404.0634460449219,-1.6162537336349487,0.12028948217630386,0.9806041717529297,12500
9,51,250,-473.8329772949219,-1.895331859588623,0.10928331315517426,0.9802083373069763,12750
9,52,250,-388.4824523925781,-1.5539298057556152,0.10993343591690063,0.979812502861023,13000
9,53,250,-460.7994079589844,-1.8431975841522217,0.21016252040863037,0.9794166684150696,13250
9,54,250,-491.6263732910156,-1.966505527496338,0.1483302116394043,0.9790208339691162,13500
9,55,250,-492.52935791015625,-1.970117449760437,0.1262417435646057,0.9786249995231628,13750
9,56,250,-466.2891540527344,-1.865156650543213,0.12171988189220428,0.9782291650772095,14000
9,57,250,-429.0865783691406,-1.716346263885498,0.23469023406505585,0.9778333306312561,14250
9,58,250,-376.036376953125,-1.5041455030441284,0.1723611056804657,0.9774374961853027,14500
9,59,250,-453.81658935546875,-1.8152663707733154,0.14338527619838715,0.9770416617393494,14750
9,60,250,-405.3332824707031,-1.621333122253418,0.13533160090446472,0.976645827293396,15000
9,61,250,-492.47320556640625,-1.9698928594589233,0.2533639073371887,0.9762499928474426,15250
9,62,250,-457.5184020996094,-1.830073595046997,0.18693387508392334,0.9758541584014893,15500
9,63,250,-449.50738525390625,-1.7980295419692993,0.15594522655010223,0.9754583239555359,15750
9,64,250,-483.4378356933594,-1.9337513446807861,0.14461836218833923,0.9750624895095825,16000
9,65,250,-486.0377197265625,-1.9441509246826172,0.2500452399253845,0.9746666550636292,16250
9,66,250,-342.9360046386719,-1.3717440366744995,0.17365659773349762,0.9742708206176758,16500
9,67,250,-415.56365966796875,-1.6622546911239624,0.16174858808517456,0.9738749861717224,16750
9,68,250,-466.789306640625,-1.867157220840454,0.15750151872634888,0.973479151725769,17000
9,69,250,-486.06427001953125,-1.9442570209503174,0.2766607105731964,0.9730833172798157,17250
9,70,250,-465.1490478515625,-1.8605961799621582,0.1953364908695221,0.9726874828338623,17500
9,71,250,-489.1257019042969,-1.9565027952194214,0.17827509343624115,0.9722916483879089,17750
9,72,250,-486.7276306152344,-1.9469105005264282,0.16500934958457947,0.9718958139419556,18000
9,73,250,-388.22686767578125,-1.5529074668884277,0.2892201840877533,0.9714999794960022,18250
9,74,250,-450.8140869140625,-1.8032563924789429,0.2285207211971283,0.9711041450500488,18500
9,75,250,-480.14727783203125,-1.9205890893936157,0.20641690492630005,0.9707083106040955,18750
9,76,250,-461.35784912109375,-1.8454314470291138,0.19592991471290588,0.9703124761581421,19000
9,77,250,-481.8521423339844,-1.9274085760116577,0.29708078503608704,0.9699166417121887,19250
