seed,evaluation_batch,initial_theta,initial_theta_dot,actual_initial_theta,actual_initial_theta_dot,total_reward,minimum_abs_theta,upright_steps,stable_upright_steps,max_consecutive_stable_steps,success,theta_upright_threshold,theta_dot_stable_threshold,success_consecutive_stable_steps_threshold,final_theta_wrapped,final_theta_unwrapped,final_theta_dot
9,0,3.1415927410125732,0.0,3.1415927410125732,0.0,1350.83984375,5.3882598876953125e-05,149,143,143,1,0.35,0.5,30,0.005270957946777344,6.288456439971924,0.00216822512447834
9,1,3.341592788696289,-2.0,3.341592788696289,-2.0,1690.04541015625,2.384185791015625e-06,184,180,180,1,0.35,0.5,30,0.002270221710205078,6.285455703735352,-0.032651882618665695
9,2,1.6699999570846558,2.0,1.6699999570846558,2.0,2229.71826171875,2.7179718017578125e-05,227,221,221,1,0.35,0.5,30,0.003131866455078125,6.286317348480225,-0.023120589554309845
9,3,1.6699999570846558,-1.0,1.6699999570846558,-1.0,2151.40869140625,1.239776611328125e-05,223,221,221,1,0.35,0.5,30,0.0009589195251464844,6.284144401550293,0.02796855941414833
9,4,4.8115925788879395,0.0,4.8115925788879395,0.0,2044.0565185546875,3.2901763916015625e-05,208,203,203,1,0.35,0.5,30,0.0027074813842773438,6.285892963409424,-0.004687272012233734
