seed,evaluation_batch,initial_theta,initial_theta_dot,actual_initial_theta,actual_initial_theta_dot,total_reward,minimum_abs_theta,upright_steps,stable_upright_steps,max_consecutive_stable_steps,success,theta_upright_threshold,theta_dot_stable_threshold,success_consecutive_stable_steps_threshold,final_theta_wrapped,final_theta_unwrapped,final_theta_dot
13,0,3.1415927410125732,0.0,3.1415927410125732,0.0,1678.091064453125,0.05116844177246094,178,172,172,1,0.35,0.5,30,-0.06923294067382812,6.213952541351318,0.05466371029615402
13,1,3.341592788696289,-2.0,3.341592788696289,-2.0,1681.4176025390625,0.03767728805541992,176,169,168,1,0.35,0.5,30,-0.05811166763305664,6.22507381439209,0.013007543981075287
13,2,1.6699999570846558,2.0,1.6699999570846558,2.0,2253.179931640625,0.050971031188964844,228,223,223,1,0.35,0.5,30,-0.056403160095214844,6.226782321929932,0.001185137778520584
13,3,1.6699999570846558,-1.0,1.6699999570846558,-1.0,2226.68701171875,0.0006203651428222656,225,219,219,1,0.35,0.5,30,-0.06537103652954102,6.2178144454956055,0.11056965589523315
13,4,4.8115925788879395,0.0,4.8115925788879395,0.0,2027.674072265625,0.051384925842285156,208,203,203,1,0.35,0.5,30,-0.053134918212890625,6.230050563812256,-0.03500458970665932
