seed,evaluation_batch,initial_theta,initial_theta_dot,actual_initial_theta,actual_initial_theta_dot,total_reward,minimum_abs_theta,upright_steps,stable_upright_steps,max_consecutive_stable_steps,success,theta_upright_threshold,theta_dot_stable_threshold,success_consecutive_stable_steps_threshold,final_theta_wrapped,final_theta_unwrapped,final_theta_dot
0,0,3.1415927410125732,0.0,3.1415927410125732,0.0,1822.5126953125,0.018299102783203125,191,186,186,1,0.35,0.5,30,-0.03186321258544922,6.251322269439697,0.2316983938217163
0,1,3.341592788696289,-2.0,3.341592788696289,-2.0,1882.2049560546875,0.0037410426884889603,195,187,186,1,0.35,0.5,30,-0.022194068878889084,-0.022194068878889084,0.1492432951927185
0,2,1.6699999570846558,2.0,1.6699999570846558,2.0,2276.06787109375,0.016067981719970703,231,227,227,1,0.35,0.5,30,-0.02803802490234375,6.255147457122803,0.12945948541164398
0,3,1.6699999570846558,-1.0,1.6699999570846558,-1.0,2225.383056640625,0.01708078384399414,226,222,221,1,0.35,0.5,30,-0.03254842758178711,6.250637054443359,0.09280583262443542
0,4,4.8115925788879395,0.0,4.8115925788879395,0.0,1947.9697265625,0.016731739044189453,200,194,190,1,0.35,0.5,30,-0.027668476104736328,6.25551700592041,0.1703341156244278
