seed,evaluation_batch,initial_theta,initial_theta_dot,actual_initial_theta,actual_initial_theta_dot,total_reward,minimum_abs_theta,upright_steps,stable_upright_steps,max_consecutive_stable_steps,success,theta_upright_threshold,theta_dot_stable_threshold,success_consecutive_stable_steps_threshold,final_theta_wrapped,final_theta_unwrapped,final_theta_dot
7,0,3.1415927410125732,0.0,3.1415927410125732,0.0,1938.278564453125,0.0066375732421875,201,195,195,1,0.35,0.5,30,-0.04064321517944336,6.242542266845703,-0.053882140666246414
7,1,3.341592788696289,-2.0,3.341592788696289,-2.0,0.05095648765563965,0.007886305451393127,31,0,0,0,0.35,0.5,30,2.591486930847168,-60.24036407470703,-7.883527755737305
7,2,1.6699999570846558,2.0,1.6699999570846558,2.0,2295.1728515625,0.0028743743896484375,232,227,227,1,0.35,0.5,30,-0.03597116470336914,6.247214317321777,0.047068532556295395
7,3,1.6699999570846558,-1.0,1.6699999570846558,-1.0,2251.1328125,0.027374267578125,228,222,222,1,0.35,0.5,30,-0.0352473258972168,6.24793815612793,0.050709884613752365
7,4,4.8115925788879395,0.0,4.8115925788879395,0.0,2238.3486328125,0.001124722883105278,227,219,217,1,0.35,0.5,30,-0.04503845050930977,-0.04503845050930977,-0.07559992372989655
