seed,evaluation_batch,initial_theta,initial_theta_dot,actual_initial_theta,actual_initial_theta_dot,total_reward,minimum_abs_theta,upright_steps,stable_upright_steps,max_consecutive_stable_steps,success,theta_upright_threshold,theta_dot_stable_threshold,success_consecutive_stable_steps_threshold,final_theta_wrapped,final_theta_unwrapped,final_theta_dot
1,0,3.1415927410125732,0.0,3.1415927410125732,0.0,1791.6763916015625,0.024364948272705078,189,182,182,1,0.35,0.5,30,-0.03338289260864258,6.249802589416504,0.08473819494247437
1,1,3.341592788696289,-2.0,3.341592788696289,-2.0,-71.17749786376953,0.01727581024169922,23,0,0,0,0.35,0.5,30,-0.1074209213256836,69.00761413574219,5.509961128234863
1,2,1.6699999570846558,2.0,1.6699999570846558,2.0,2275.799560546875,0.0228271484375,230,225,225,1,0.35,0.5,30,-0.03472709655761719,6.248458385467529,-0.1728537529706955
1,3,1.6699999570846558,-1.0,1.6699999570846558,-1.0,2257.09765625,0.02371835708618164,228,223,223,1,0.35,0.5,30,-0.039478302001953125,6.243707180023193,0.06967620551586151
1,4,4.8115925788879395,0.0,4.8115925788879395,0.0,-19.6081485748291,0.0004825592041015625,29,0,0,0,0.35,0.5,30,0.1790628433227539,75.57728576660156,5.72970724105835
