metric,mean,std,min,max
training_time_seconds,176.040061601003,0.048696512183534914,176.00122833251953,176.10917711257935
training_episodes_per_second,45.4442045661876,0.012568520731437738,45.42636636639288,45.45422822212116
training_steps_per_second,11361.051141546899,3.142130182859569,11356.591591598219,11363.557055530291
training_time_ms_per_episode,22.005007700125375,0.006087064022941864,22.00015354156494,22.013647139072418
training_time_us_per_step,88.0200308005015,0.024348256091767457,88.00061416625977,88.05458855628967
average_evaluation_reward,1460.1334825611114,779.0623195712192,-2.2262191772460938,2185.13955078125
average_upright_accuracy,0.6695466666666666,0.2576779769586912,0.1424,0.8904
average_stable_accuracy,0.6169066666666667,0.30775349938051455,0.0,0.8656
average_max_consecutive_stable_steps,153.88000000000002,76.81907501209766,0.0,216.4
success_rate,0.7466666666666667,0.3739111175259754,0.0,1.0
accuracy,0.6169066666666667,0.30775349938051455,0.0,0.8656
precision,0.9333333333333333,0.25819888974716115,0.0,1.0
recall,0.6169066666666667,0.30775349938051455,0.0,0.8656
f1_score,0.705424844445952,0.32700139844215603,0.0,0.9279588336192109
tp,771.1333333333333,384.6918742256432,0.0,1082.0
fn,478.8666666666667,384.6918742256432,168.0,1250.0
