seed,evaluation_batch,initial_theta,initial_theta_dot,actual_initial_theta,actual_initial_theta_dot,total_reward,minimum_abs_theta,upright_steps,stable_upright_steps,max_consecutive_stable_steps,success,theta_upright_threshold,theta_dot_stable_threshold,success_consecutive_stable_steps_threshold,final_theta_wrapped,final_theta_unwrapped,final_theta_dot
6,0,3.1415927410125732,0.0,3.1415927410125732,0.0,1906.2628173828125,0.000339508056640625,198,192,191,1,0.35,0.5,30,-0.007450580596923828,6.275734901428223,-0.10229218006134033
6,1,3.341592788696289,-2.0,3.341592788696289,-2.0,1987.1844482421875,0.00017451494932174683,205,200,198,1,0.35,0.5,30,-0.011164295487105846,-0.011164295487105846,-0.08828801661729813
6,2,1.6699999570846558,2.0,1.6699999570846558,2.0,2307.452880859375,0.0002760887145996094,233,228,227,1,0.35,0.5,30,-0.010510921478271484,6.272674560546875,-0.08957687765359879
6,3,1.6699999570846558,-1.0,1.6699999570846558,-1.0,2233.75146484375,0.00018167495727539062,226,220,219,1,0.35,0.5,30,-0.014803409576416016,6.2683820724487305,-0.08283799886703491
6,4,4.8115925788879395,0.0,4.8115925788879395,0.0,2287.572021484375,9.231828153133392e-05,231,226,225,1,0.35,0.5,30,-0.012218626216053963,-0.012218626216053963,-0.08652426302433014
