seed,evaluation_batch,initial_theta,initial_theta_dot,actual_initial_theta,actual_initial_theta_dot,total_reward,minimum_abs_theta,upright_steps,stable_upright_steps,max_consecutive_stable_steps,success,theta_upright_threshold,theta_dot_stable_threshold,success_consecutive_stable_steps_threshold,final_theta_wrapped,final_theta_unwrapped,final_theta_dot
10,0,3.1415927410125732,0.0,3.1415927410125732,0.0,672.5281372070312,0.16588972508907318,187,185,185,1,0.35,0.5,30,0.18483340740203857,0.18483340740203857,0.16618956625461578
10,1,3.341592788696289,-2.0,3.341592788696289,-2.0,739.76806640625,0.16375695168972015,198,196,195,1,0.35,0.5,30,0.18150271475315094,0.18150271475315094,0.07921667397022247
10,2,1.6699999570846558,2.0,1.6699999570846558,2.0,808.6012573242188,0.17369937896728516,209,206,205,1,0.35,0.5,30,0.1868445873260498,0.1868445873260498,0.1135747879743576
10,3,1.6699999570846558,-1.0,1.6699999570846558,-1.0,797.83935546875,0.1650014966726303,207,205,205,1,0.35,0.5,30,0.18339061737060547,0.18339061737060547,0.17757803201675415
10,4,4.8115925788879395,0.0,4.8115925788879395,0.0,884.4107055664062,0.1640998274087906,224,222,221,1,0.35,0.5,30,0.17603103816509247,0.17603103816509247,-0.0196477472782135
