seed,episode,episode_length,total_reward,average_reward_per_step,average_absolute_td_error,epsilon,timesteps
10,1,250,-492.8721923828125,-1.9714887142181396,0.0,1.0,250
10,2,250,-473.67742919921875,-1.8947097063064575,0.0,0.9996041655540466,500
10,3,250,-479.00933837890625,-1.9160373210906982,0.0,0.9992083311080933,750
10,4,250,-450.0729675292969,-1.800291895866394,0.0,0.9988124966621399,1000
10,5,250,-462.71661376953125,-1.850866436958313,0.2805652916431427,0.9984166622161865,1250
10,6,250,-419.1190490722656,-1.676476240158081,0.0857410728931427,0.9980208277702332,1500
10,7,250,-495.8365478515625,-1.9833462238311768,0.07728258520364761,0.9976249933242798,1750
10,8,250,-412.6156005859375,-1.6504623889923096,0.04230649396777153,0.9972291588783264,2000
10,9,250,-474.9992370605469,-1.8999969959259033,0.08206722885370255,0.996833324432373,2250
10,10,250,-450.3077392578125,-1.8012309074401855,0.03492073342204094,0.9964374899864197,2500
10,11,250,-436.02203369140625,-1.7440881729125977,0.029429344460368156,0.9960416555404663,2750
10,12,250,-492.6217956542969,-1.9704872369766235,0.025553395971655846,0.9956458210945129,3000
10,13,250,-475.5756530761719,-1.902302622795105,0.07364828884601593,0.9952499866485596,3250
10,14,250,-482.0185546875,-1.9280742406845093,0.034359972923994064,0.9948541522026062,3500
10,15,250,-451.19891357421875,-1.8047956228256226,0.029139788821339607,0.9944583177566528,3750
10,16,250,-487.79595947265625,-1.951183795928955,0.025020532310009003,0.9940624833106995,4000
10,17,250,-470.81219482421875,-1.8832488059997559,0.07190417498350143,0.9936666488647461,4250
10,18,250,-421.03668212890625,-1.684146761894226,0.037899766117334366,0.9932708144187927,4500
10,19,250,-485.16253662109375,-1.9406501054763794,0.034062597900629044,0.9928749799728394,4750
10,20,250,-455.25616455078125,-1.8210246562957764,0.02954106777906418,0.992479145526886,5000
10,21,250,-489.97430419921875,-1.9598971605300903,0.07174090296030045,0.9920833110809326,5250
10,22,250,-478.4638977050781,-1.9138555526733398,0.044266726821660995,0.9916874766349792,5500
10,23,250,-434.5799560546875,-1.7383198738098145,0.03744139149785042,0.9912916421890259,5750
10,24,250,-483.8012390136719,-1.9352049827575684,0.03546585515141487,0.9908958077430725,6000
10,25,250,-492.6856994628906,-1.9707428216934204,0.08040066808462143,0.9904999732971191,6250
10,26,250,-399.4248352050781,-1.5976992845535278,0.050112057477235794,0.9901041388511658,6500
10,27,250,-474.990478515625,-1.8999619483947754,0.04857489839196205,0.9897083044052124,6750
10,28,250,-481.3489990234375,-1.9253959655761719,0.04341089725494385,0.9893125295639038,7000
10,29,250,-484.9242858886719,-1.9396971464157104,0.09174079447984695,0.9889166951179504,7250
10,30,250,-474.3404846191406,-1.8973619937896729,0.058059535920619965,0.9885208606719971,7500
10,31,250,-487.9742736816406,-1.951897144317627,0.05493476614356041,0.9881250262260437,7750
10,32,250,-483.2248840332031,-1.9328995943069458,0.05073491856455803,0.9877291917800903,8000
10,33,250,-451.10748291015625,-1.8044298887252808,0.09854792058467865,0.987333357334137,8250
10,34,250,-487.9287109375,-1.9517148733139038,0.06598959118127823,0.9869375228881836,8500
10,35,250,-433.4538269042969,-1.733815312385559,0.06504343450069427,0.9865416884422302,8750
10,36,250,-433.7278747558594,-1.7349114418029785,0.05898253619670868,0.9861458539962769,9000
10,37,250,-438.37359619140625,-1.753494381904602,0.12068242579698563,0.9857500195503235,9250
10,38,250,-467.07147216796875,-1.868285894393921,0.07154349237680435,0.9853541851043701,9500
10,39,250,-483.86785888671875,-1.9354714155197144,0.0744907408952713,0.9849583506584167,9750
10,40,250,-424.0892333984375,-1.6963568925857544,0.07251974195241928,0.9845625162124634,10000
10,41,250,-480.74786376953125,-1.9229915142059326,0.14199025928974152,0.98416668176651,10250
10,42,250,-482.79925537109375,-1.9311970472335815,0.0954495221376419,0.9837708473205566,10500
10,43,250,-484.7208557128906,-1.9388834238052368,0.0887054055929184,0.9833750128746033,10750
10,44,250,-464.2743225097656,-1.8570972681045532,0.08279972523450851,0.9829791784286499,11000
10,45,250,-483.1617431640625,-1.9326469898223877,0.1605662852525711,0.9825833439826965,11250
10,46,250,-462.7205505371094,-1.8508821725845337,0.10356327146291733,0.9821875095367432,11500
10,47,250,-446.7528076171875,-1.7870112657546997,0.09800143539905548,0.9817916750907898,11750
10,48,250,-457.890625,-1.8315625190734863,0.09112206846475601,0.9813958406448364,12000
10,49,250,-496.25408935546875,-1.9850163459777832,0.1851930469274521,0.9810000061988831,12250
10,50,250,-454.3796081542969,-1.8175184726715088,0.12082085013389587,0.9806041717529297,12500
10,51,250,-465.3798828125,-1.8615195751190186,0.10657236725091934,0.9802083373069763,12750
10,52,250,-491.73919677734375,-1.9669567346572876,0.1024007797241211,0.979812502861023,13000
10,53,250,-445.2008361816406,-1.7808033227920532,0.21485327184200287,0.9794166684150696,13250
10,54,250,-305.5325927734375,-1.2221304178237915,0.14909221231937408,0.9790208339691162,13500
10,55,250,-476.99774169921875,-1.9079909324645996,0.14136525988578796,0.9786249995231628,13750
10,56,250,-453.54205322265625,-1.8141682147979736,0.1233728900551796,0.9782291650772095,14000
10,57,250,-422.34002685546875,-1.6893601417541504,0.2528802454471588,0.9778333306312561,14250
10,58,250,-355.01953125,-1.420078158378601,0.17633488774299622,0.9774374961853027,14500
10,59,250,-435.4326171875,-1.7417304515838623,0.15085169672966003,0.9770416617393494,14750
10,60,250,-451.23785400390625,-1.8049514293670654,0.1404496431350708,0.976645827293396,15000
10,61,250,-438.485595703125,-1.7539423704147339,0.25421372056007385,0.9762499928474426,15250
10,62,250,-338.04010009765625,-1.3521604537963867,0.18280909955501556,0.9758541584014893,15500
10,63,250,-457.59271240234375,-1.8303709030151367,0.17034927010536194,0.9754583239555359,15750
10,64,250,-451.3636779785156,-1.8054547309875488,0.15769776701927185,0.9750624895095825,16000
10,65,250,-469.07611083984375,-1.8763043880462646,0.2712104022502899,0.9746666550636292,16250
10,66,250,-476.8745422363281,-1.9074981212615967,0.20028947293758392,0.9742708206176758,16500
10,67,250,-467.0511474609375,-1.8682045936584473,0.18336181342601776,0.9738749861717224,16750
10,68,250,-371.5922546386719,-1.486369013786316,0.16990366578102112,0.973479151725769,17000
10,69,250,-441.79071044921875,-1.767162799835205,0.2753295302391052,0.9730833172798157,17250
10,70,250,-454.2601623535156,-1.8170406818389893,0.2234422266483307,0.9726874828338623,17500
10,71,250,-461.9459533691406,-1.8477838039398193,0.20599377155303955,0.9722916483879089,17750
10,72,250,-411.82855224609375,-1.647314190864563,0.19733679294586182,0.9718958139419556,18000
10,73,250,-307.6894226074219,-1.230757713317871,0.3039872646331787,0.9714999794960022,18250
10,74,250,-449.51861572265625,-1.79807448387146,0.2594102621078491,0.9711041450500488,18500
10,75,250,-450.7662658691406,-1.8030650615692139,0.2463468611240387,0.9707083106040955,18750
10,76,250,-473.60174560546875,-1.894407033920288,0.2430225908756256,0.9703124761581421,19000
10,77,250,-475.2354736328125,-1.9009418487548828,0.33320164680480957,0.9699166417121887,19250
10,78,250,-491.30255126953125,-1.965210199356079,0.2763664126396179,0.9695208072662354,19500
10,79,250,-451.5275573730469,-1.8061102628707886,0.2631779611110687,0.969124972820282,19750
10,80,250,-469.3995056152344,-1.8775980472564697,0.2585609555244446,0.9687291383743286,20000
10,81,250,-452.9539794921875,-1.8118159770965576,0.34633684158325195,0.96833336353302,20250
10,82,250,-393.878662109375,-1.5755146741867065,0.28877827525138855,0.9679374694824219,20500
10,83,250,-460.1542053222656,-1.8406168222427368,0.2795962393283844,0.9675416946411133,20750
10,84,250,-470.62847900390625,-1.8825138807296753,0.26281875371932983,0.9671458601951599,21000
10,85,250,-468.09332275390625,-1.872373342514038,0.33836066722869873,0.9667500257492065,21250
10,86,250,-457.22076416015625,-1.8288830518722534,0.2867192029953003,0.9663541913032532,21500
10,87,250,-482.7807922363281,-1.93112313747406,0.27406853437423706,0.9659583568572998,21750
10,88,250,-479.4168701171875,-1.9176675081253052,0.251475065946579,0.9655625224113464,22000
10,89,250,-420.25518798828125,-1.681020736694336,0.3672182261943817,0.9651666879653931,22250
10,90,250,-461.0559387207031,-1.8442237377166748,0.3005017042160034,0.9647708535194397,22500
10,91,250,-466.2031555175781,-1.8648126125335693,0.29126495122909546,0.9643750190734863,22750
10,92,250,-438.245361328125,-1.752981424331665,0.2646074593067169,0.963979184627533,23000
10,93,250,-399.65496826171875,-1.598619818687439,0.3703911006450653,0.9635833501815796,23250
10,94,250,-470.12799072265625,-1.880511999130249,0.29860052466392517,0.9631875157356262,23500
10,95,250,-417.81170654296875,-1.6712467670440674,0.27758726477622986,0.9627916812896729,23750
10,96,250,-480.9889221191406,-1.9239556789398193,0.26569828391075134,0.9623958468437195,24000
10,97,250,-473.5596618652344,-1.8942385911941528,0.3643821179866791,0.9620000123977661,24250
10,98,250,-213.4373321533203,-0.8537493348121643,0.2988620698451996,0.9616041779518127,24500
10,99,250,-374.544677734375,-1.4981787204742432,0.271653950214386,0.9612083435058594,24750
10,100,250,-448.8269958496094,-1.795307993888855,0.27131080627441406,0.960812509059906,25000
10,101,250,-433.4550476074219,-1.7338201999664307,0.3868335783481598,0.9604166746139526,25250
10,102,250,-299.9368896484375,-1.1997475624084473,0.3090301752090454,0.9600208401679993,25500
10,103,250,-478.23797607421875,-1.912951946258545,0.29637613892555237,0.9596250057220459,25750
10,104,250,-456.941162109375,-1.827764630317688,0.28318509459495544,0.9592291712760925,26000
10,105,250,-401.94439697265625,-1.6077775955200195,0.4179210662841797,0.9588333368301392,26250
10,106,250,-405.5423583984375,-1.6221693754196167,0.3360588252544403,0.9584375023841858,26500
10,107,250,-469.8099060058594,-1.8792396783828735,0.30135923624038696,0.9580416679382324,26750
10,108,250,-495.3420715332031,-1.9813683032989502,0.29498767852783203,0.957645833492279,27000
10,109,250,-399.0171203613281,-1.5960685014724731,0.472103476524353,0.9572499990463257,27250
10,110,250,-386.3288879394531,-1.5453155040740967,0.3683670163154602,0.9568541646003723,27500
10,111,250,-478.89111328125,-1.9155644178390503,0.34671705961227417,0.956458330154419,27750
10,112,250,-482.4419860839844,-1.9297679662704468,0.35141128301620483,0.9560624957084656,28000
10,113,250,-452.2341613769531,-1.808936595916748,0.4958483576774597,0.9556666612625122,28250
10,114,250,-457.1257019042969,-1.8285027742385864,0.40615570545196533,0.9552708268165588,28500
10,115,250,-443.1990661621094,-1.7727962732315063,0.3649100661277771,0.9548749923706055,28750
10,116,250,-393.7247314453125,-1.5748989582061768,0.34904104471206665,0.9544791579246521,29000
10,117,250,-471.90533447265625,-1.887621283531189,0.5224074721336365,0.9540833234786987,29250
10,118,250,-420.8438415527344,-1.683375358581543,0.44655126333236694,0.9536874890327454,29500
10,119,250,-473.46990966796875,-1.8938796520233154,0.40223512053489685,0.953291654586792,29750
10,120,250,-451.3193359375,-1.8052773475646973,0.4016149640083313,0.9528958201408386,30000
10,121,250,-456.5389404296875,-1.8261557817459106,0.5322450399398804,0.9524999856948853,30250
10,122,250,-456.3648986816406,-1.825459599494934,0.45452868938446045,0.9521041512489319,30500
10,123,250,-371.5047912597656,-1.4860191345214844,0.4377134442329407,0.9517083168029785,30750
10,124,250,-417.91094970703125,-1.671643853187561,0.40110304951667786,0.9513124823570251,31000
10,125,250,-290.1999816894531,-1.1607999801635742,0.581194281578064,0.9509166479110718,31250
10,126,250,-462.1862487792969,-1.8487449884414673,0.4846675395965576,0.9505208134651184,31500
10,127,250,-404.08489990234375,-1.6163395643234253,0.4449208080768585,0.950124979019165,31750
10,128,250,-425.1375427246094,-1.7005501985549927,0.4477299153804779,0.9497291445732117,32000
10,129,250,-491.24041748046875,-1.9649616479873657,0.6467987895011902,0.9493333101272583,32250
10,130,250,-417.2654724121094,-1.6690618991851807,0.5421003699302673,0.9489374756813049,32500
10,131,250,-481.0185241699219,-1.9240740537643433,0.5020264387130737,0.9485416412353516,32750
10,132,250,-413.08502197265625,-1.652340054512024,0.46872448921203613,0.9481458067893982,33000
10,133,250,-404.7015380859375,-1.6188061237335205,0.6663362383842468,0.9477499723434448,33250
10,134,250,-478.66436767578125,-1.914657473564148,0.5892408490180969,0.9473541975021362,33500
10,135,250,-401.71746826171875,-1.6068698167800903,0.5498604774475098,0.9469583034515381,33750
10,136,250,-456.6585693359375,-1.8266342878341675,0.4991537034511566,0.9465625286102295,34000
10,137,250,-476.4669189453125,-1.9058676958084106,0.7163538336753845,0.9461666345596313,34250
10,138,250,-451.0707702636719,-1.8042830228805542,0.6010544300079346,0.9457708597183228,34500
10,139,250,-478.5970458984375,-1.9143881797790527,0.532150149345398,0.9453750252723694,34750
10,140,250,-440.75811767578125,-1.7630324363708496,0.5073373317718506,0.944979190826416,35000
10,141,250,-374.14923095703125,-1.4965969324111938,0.6851546168327332,0.9445833563804626,35250
10,142,250,-452.0185546875,-1.8080742359161377,0.5746617913246155,0.9441875219345093,35500
10,143,250,-477.3792419433594,-1.9095169305801392,0.514845073223114,0.9437916874885559,35750
10,144,250,-474.7252197265625,-1.8989008665084839,0.48118025064468384,0.9433958530426025,36000
10,145,250,-428.7269592285156,-1.7149078845977783,0.6665657758712769,0.9430000185966492,36250
10,146,250,-367.1234130859375,-1.4684937000274658,0.5514229536056519,0.9426041841506958,36500
10,147,250,-484.14599609375,-1.9365839958190918,0.5276671051979065,0.9422083497047424,36750
10,148,250,-425.5323791503906,-1.7021294832229614,0.4838907718658447,0.9418125152587891,37000
10,149,250,-460.5022888183594,-1.84200918674469,0.6593843102455139,0.9414166808128357,37250
10,150,250,-438.288818359375,-1.75315523147583,0.532436192035675,0.9410208463668823,37500
10,151,250,-438.3086242675781,-1.7532345056533813,0.5024169087409973,0.940625011920929,37750
10,152,250,-384.08404541015625,-1.5363361835479736,0.47689515352249146,0.9402291774749756,38000
10,153,250,-401.9450378417969,-1.6077800989151,0.6975260376930237,0.9398333430290222,38250
10,154,250,-382.0417175292969,-1.5281668901443481,0.5549651980400085,0.9394375085830688,38500
10,155,250,-480.6753845214844,-1.9227015972137451,0.5160017609596252,0.9390416741371155,38750
10,156,250,-450.6720886230469,-1.8026883602142334,0.4940839409828186,0.9386458396911621,39000
10,157,250,-466.1446838378906,-1.8645787239074707,0.6752803921699524,0.9382500052452087,39250
10,158,250,-477.4227294921875,-1.9096909761428833,0.5202450752258301,0.9378541707992554,39500
10,159,250,-484.3365478515625,-1.9373462200164795,0.46741679310798645,0.937458336353302,39750
10,160,250,-433.5504150390625,-1.7342016696929932,0.450454980134964,0.9370625019073486,40000
10,161,250,-459.18170166015625,-1.8367267847061157,0.6738290190696716,0.9366666674613953,40250
10,162,250,-401.7857971191406,-1.6071431636810303,0.5112078785896301,0.9362708330154419,40500
10,163,250,-314.1761779785156,-1.2567046880722046,0.4835954010486603,0.9358749985694885,40750
10,164,250,-140.7312469482422,-0.5629249811172485,0.46339085698127747,0.9354791641235352,41000
10,165,250,-416.5490417480469,-1.6661961078643799,0.691622793674469,0.9350833296775818,41250
10,166,250,-471.1553649902344,-1.884621500968933,0.5174070000648499,0.9346874952316284,41500
10,167,250,-427.1627502441406,-1.7086509466171265,0.4665529131889343,0.934291660785675,41750
10,168,250,-442.9920959472656,-1.7719683647155762,0.45691147446632385,0.9338958263397217,42000
10,169,250,-440.0186767578125,-1.7600747346878052,0.6408669948577881,0.9334999918937683,42250
10,170,250,-390.11907958984375,-1.560476303100586,0.5017276406288147,0.9331041574478149,42500
10,171,250,-480.8712158203125,-1.9234849214553833,0.4556497037410736,0.9327083230018616,42750
10,172,250,-272.14642333984375,-1.0885857343673706,0.4293501377105713,0.9323124885559082,43000
10,173,250,-427.3652038574219,-1.7094608545303345,0.6452168226242065,0.9319166541099548,43250
10,174,250,-474.5975036621094,-1.8983900547027588,0.5130805373191833,0.9315208196640015,43500
10,175,250,-427.6514587402344,-1.7106058597564697,0.48442333936691284,0.9311249852180481,43750
10,176,250,-311.95538330078125,-1.247821569442749,0.4638575315475464,0.9307291507720947,44000
10,177,250,-303.5970764160156,-1.2143882513046265,0.7334506511688232,0.9303333163261414,44250
10,178,250,-479.4952697753906,-1.9179810285568237,0.5720174908638,0.929937481880188,44500
