seed,evaluation_batch,initial_theta,initial_theta_dot,actual_initial_theta,actual_initial_theta_dot,total_reward,minimum_abs_theta,upright_steps,stable_upright_steps,max_consecutive_stable_steps,success,theta_upright_threshold,theta_dot_stable_threshold,success_consecutive_stable_steps_threshold,final_theta_wrapped,final_theta_unwrapped,final_theta_dot
2,0,3.1415927410125732,0.0,3.1415927410125732,0.0,1880.47216796875,4.087574779987335e-06,196,192,192,1,0.35,0.5,30,-0.011023784056305885,-0.011023784056305885,-0.019298585131764412
2,1,3.341592788696289,-2.0,3.341592788696289,-2.0,1911.3365478515625,0.0001409929245710373,197,192,192,1,0.35,0.5,30,-0.007414615713059902,-0.007414615713059902,-0.051675789058208466
2,2,1.6699999570846558,2.0,1.6699999570846558,2.0,2269.703125,1.9550323486328125e-05,230,222,221,1,0.35,0.5,30,-0.011807441711425781,6.271378040313721,-0.054641298949718475
2,3,1.6699999570846558,-1.0,1.6699999570846558,-1.0,2025.2115478515625,3.816280514001846e-05,206,200,200,1,0.35,0.5,30,-0.006345675326883793,-0.006345675326883793,-0.015054364688694477
2,4,4.8115925788879395,0.0,4.8115925788879395,0.0,2275.61962890625,1.6298145055770874e-06,230,224,224,1,0.35,0.5,30,-0.01101470086723566,-0.01101470086723566,-0.04074820503592491
