seed,evaluation_batch,initial_theta,initial_theta_dot,actual_initial_theta,actual_initial_theta_dot,total_reward,minimum_abs_theta,upright_steps,stable_upright_steps,max_consecutive_stable_steps,success,theta_upright_threshold,theta_dot_stable_threshold,success_consecutive_stable_steps_threshold,final_theta_wrapped,final_theta_unwrapped,final_theta_dot
4,0,3.1415927410125732,0.0,3.1415927410125732,0.0,1909.552734375,0.02616085670888424,199,195,194,1,0.35,0.5,30,0.029636142775416374,0.029636142775416374,-0.026754938066005707
4,1,3.341592788696289,-2.0,3.341592788696289,-2.0,1923.3388671875,0.025704823434352875,200,196,196,1,0.35,0.5,30,0.026446910575032234,0.026446910575032234,-0.0042577628046274185
4,2,1.6699999570846558,2.0,1.6699999570846558,2.0,21.080293655395508,0.014128684997558594,35,0,0,0,0.35,0.5,30,-2.117117404937744,-64.94896697998047,-7.002601623535156
4,3,1.6699999570846558,-1.0,1.6699999570846558,-1.0,2036.62255859375,0.01555689424276352,209,205,205,1,0.35,0.5,30,0.028637107461690903,0.028637107461690903,-0.0022899098694324493
4,4,4.8115925788879395,0.0,4.8115925788879395,0.0,2263.645751953125,0.02593410201370716,229,226,226,1,0.35,0.5,30,0.02784285508096218,0.02784285508096218,-0.00676862895488739
