seed,episode,episode_length,total_reward,average_reward_per_step,average_absolute_td_error,epsilon,timesteps
14,1,250,-488.6943359375,-1.9547773599624634,0.0,1.0,250
14,2,250,-486.56341552734375,-1.9462536573410034,0.0,0.9996041655540466,500
14,3,250,-495.1724548339844,-1.9806897640228271,0.0,0.9992083311080933,750
14,4,250,-486.02764892578125,-1.944110631942749,0.0,0.9988124966621399,1000
14,5,250,-495.3897399902344,-1.981558918952942,0.25245386362075806,0.9984166622161865,1250
14,6,250,-470.20294189453125,-1.8808118104934692,0.03895118460059166,0.9980208277702332,1500
14,7,250,-469.4920349121094,-1.877968192100525,0.04388505220413208,0.9976249933242798,1750
14,8,250,-488.1910095214844,-1.9527640342712402,0.03561563789844513,0.9972291588783264,2000
14,9,250,-487.9092102050781,-1.951636791229248,0.06283089518547058,0.996833324432373,2250
14,10,250,-480.37493896484375,-1.9214997291564941,0.025501487776637077,0.9964374899864197,2500
14,11,250,-488.0805358886719,-1.9523221254348755,0.019439028576016426,0.9960416555404663,2750
14,12,250,-490.0108642578125,-1.9600434303283691,0.0172867551445961,0.9956458210945129,3000
14,13,250,-384.5455322265625,-1.5381821393966675,0.05583818256855011,0.9952499866485596,3250
14,14,250,-428.1984558105469,-1.7127938270568848,0.04256655275821686,0.9948541522026062,3500
14,15,250,-421.77154541015625,-1.6870862245559692,0.035733338445425034,0.9944583177566528,3750
14,16,250,-454.1842346191406,-1.8167369365692139,0.03224531561136246,0.9940624833106995,4000
14,17,250,-483.9788818359375,-1.935915470123291,0.0786033347249031,0.9936666488647461,4250
14,18,250,-480.952880859375,-1.9238115549087524,0.04259277880191803,0.9932708144187927,4500
14,19,250,-434.4511413574219,-1.7378045320510864,0.03640177845954895,0.9928749799728394,4750
14,20,250,-435.6224365234375,-1.7424896955490112,0.033049412071704865,0.992479145526886,5000
14,21,250,-491.9188232421875,-1.9676753282546997,0.07839122414588928,0.9920833110809326,5250
14,22,250,-444.9129333496094,-1.7796517610549927,0.04545695334672928,0.9916874766349792,5500
14,23,250,-480.2057800292969,-1.920823097229004,0.0395410917699337,0.9912916421890259,5750
14,24,250,-376.74005126953125,-1.506960153579712,0.03757596015930176,0.9908958077430725,6000
14,25,250,-468.5198974609375,-1.8740795850753784,0.08663970232009888,0.9904999732971191,6250
14,26,250,-483.34906005859375,-1.9333962202072144,0.05120692402124405,0.9901041388511658,6500
14,27,250,-468.1842041015625,-1.8727368116378784,0.04595137760043144,0.9897083044052124,6750
14,28,250,-493.3753967285156,-1.9735015630722046,0.043707363307476044,0.9893125295639038,7000
14,29,250,-477.5724182128906,-1.9102896451950073,0.09199242293834686,0.9889166951179504,7250
14,30,250,-473.9363708496094,-1.8957455158233643,0.06028293818235397,0.9885208606719971,7500
14,31,250,-467.8731384277344,-1.8714925050735474,0.05362163856625557,0.9881250262260437,7750
14,32,250,-493.1581115722656,-1.9726324081420898,0.050531260669231415,0.9877291917800903,8000
14,33,250,-484.5540771484375,-1.9382163286209106,0.1000465676188469,0.987333357334137,8250
14,34,250,-488.4916076660156,-1.9539663791656494,0.06623150408267975,0.9869375228881836,8500
14,35,250,-472.1487121582031,-1.8885948657989502,0.05693070590496063,0.9865416884422302,8750
14,36,250,-443.4137878417969,-1.7736551761627197,0.05803423747420311,0.9861458539962769,9000
14,37,250,-466.692138671875,-1.8667685985565186,0.11128821223974228,0.9857500195503235,9250
14,38,250,-486.7554931640625,-1.9470219612121582,0.07493844628334045,0.9853541851043701,9500
14,39,250,-487.1383361816406,-1.9485533237457275,0.07103518396615982,0.9849583506584167,9750
14,40,250,-449.1749572753906,-1.79669988155365,0.06767389178276062,0.9845625162124634,10000
14,41,250,-481.82147216796875,-1.92728590965271,0.13210009038448334,0.98416668176651,10250
14,42,250,-462.8263854980469,-1.8513054847717285,0.09660067409276962,0.9837708473205566,10500
14,43,250,-487.16717529296875,-1.9486687183380127,0.08860862255096436,0.9833750128746033,10750
14,44,250,-395.3597717285156,-1.5814391374588013,0.08823855221271515,0.9829791784286499,11000
14,45,250,-474.7381591796875,-1.898952603340149,0.1694631576538086,0.9825833439826965,11250
14,46,250,-440.3459777832031,-1.7613838911056519,0.11699967086315155,0.9821875095367432,11500
14,47,250,-407.73834228515625,-1.630953311920166,0.10917611420154572,0.9817916750907898,11750
14,48,250,-493.5306701660156,-1.9741226434707642,0.10594411939382553,0.9813958406448364,12000
14,49,250,-478.3358459472656,-1.9133434295654297,0.2086377739906311,0.9810000061988831,12250
14,50,250,-493.49755859375,-1.9739902019500732,0.14508485794067383,0.9806041717529297,12500
14,51,250,-464.5898742675781,-1.858359456062317,0.12826752662658691,0.9802083373069763,12750
14,52,250,-489.44891357421875,-1.9577956199645996,0.12185809761285782,0.979812502861023,13000
14,53,250,-475.2831115722656,-1.9011324644088745,0.2433132380247116,0.9794166684150696,13250
14,54,250,-462.3406066894531,-1.8493623733520508,0.1620873063802719,0.9790208339691162,13500
14,55,250,-486.8631286621094,-1.9474525451660156,0.13547354936599731,0.9786249995231628,13750
14,56,250,-469.5619201660156,-1.8782477378845215,0.12859714031219482,0.9782291650772095,14000
14,57,250,-489.8570861816406,-1.959428310394287,0.24659913778305054,0.9778333306312561,14250
14,58,250,-472.167236328125,-1.8886688947677612,0.17075176537036896,0.9774374961853027,14500
14,59,250,-365.5353698730469,-1.462141513824463,0.14741510152816772,0.9770416617393494,14750
14,60,250,-396.42364501953125,-1.5856945514678955,0.13666567206382751,0.976645827293396,15000
14,61,250,-482.2645568847656,-1.9290581941604614,0.262096107006073,0.9762499928474426,15250
14,62,250,-423.0307312011719,-1.6921229362487793,0.18354059755802155,0.9758541584014893,15500
