seed,evaluation_batch,initial_theta,initial_theta_dot,actual_initial_theta,actual_initial_theta_dot,total_reward,minimum_abs_theta,upright_steps,stable_upright_steps,max_consecutive_stable_steps,success,theta_upright_threshold,theta_dot_stable_threshold,success_consecutive_stable_steps_threshold,final_theta_wrapped,final_theta_unwrapped,final_theta_dot
14,0,3.1415927410125732,0.0,3.1415927410125732,0.0,1814.369140625,0.016057491302490234,191,186,186,1,0.35,0.5,30,-0.023676395416259766,6.259509086608887,0.027423659339547157
14,1,3.341592788696289,-2.0,3.341592788696289,-2.0,-35.40239715576172,0.014758110046386719,29,0,0,0,0.35,0.5,30,2.646803379058838,65.47865295410156,8.0
14,2,1.6699999570846558,2.0,1.6699999570846558,2.0,2283.81201171875,0.018313884735107422,231,227,227,1,0.35,0.5,30,-0.02388143539428711,6.259304046630859,-0.007459206506609917
14,3,1.6699999570846558,-1.0,1.6699999570846558,-1.0,2261.186279296875,0.014802932739257812,229,224,224,1,0.35,0.5,30,-0.02587890625,6.2573065757751465,-0.01606110669672489
14,4,4.8115925788879395,0.0,4.8115925788879395,0.0,2065.47021484375,0.015924930572509766,210,206,206,1,0.35,0.5,30,-0.02266836166381836,6.260517120361328,0.019976837560534477
