seed,evaluation_batch,initial_theta,initial_theta_dot,actual_initial_theta,actual_initial_theta_dot,total_reward,minimum_abs_theta,upright_steps,stable_upright_steps,max_consecutive_stable_steps,success,theta_upright_threshold,theta_dot_stable_threshold,success_consecutive_stable_steps_threshold,final_theta_wrapped,final_theta_unwrapped,final_theta_dot
12,0,3.1415927410125732,0.0,3.1415927410125732,0.0,1767.1806640625,5.451962351799011e-06,186,179,179,1,0.35,0.5,30,-0.008639481849968433,-0.008639481849968433,-0.1446906477212906
12,1,3.341592788696289,-2.0,3.341592788696289,-2.0,1936.050048828125,1.3394281268119812e-05,200,194,194,1,0.35,0.5,30,0.00034902989864349365,0.00034902989864349365,0.1855245977640152
12,2,1.6699999570846558,2.0,1.6699999570846558,2.0,2301.520751953125,0.00022172927856445312,232,228,228,1,0.35,0.5,30,-0.012889385223388672,6.270296096801758,-0.07315133512020111
12,3,1.6699999570846558,-1.0,1.6699999570846558,-1.0,2255.636474609375,0.0004181861877441406,228,223,220,1,0.35,0.5,30,-0.009615898132324219,6.273569583892822,-0.0023570172488689423
12,4,4.8115925788879395,0.0,4.8115925788879395,0.0,2240.541015625,9.910669177770615e-06,227,221,221,1,0.35,0.5,30,-0.0027009109035134315,-0.0027009109035134315,-0.11009886860847473
